First Name,Last Name,Customer Name,Education,Income,Loyalty Number,Customer_ID
Mina,Smida,Mina Smida,Bachelor,82877,100018,2575102086159306714
Sadie,Straseskie,Sadie Straseskie,High School or Below,16645,100055,1320762700119498591
Rheba,Stonum,Rheba Stonum,Bachelor,93752,100119,2608230245797399751
Soo,Schier,Soo Schier,Master,24910,100124,4369613970028045571
Guillermina,Tradup,Guillermina Tradup,Master,26802,100171,-8390808715992036621
Olen,Delrio,Olen Delrio,Bachelor,31409,100210,-6964714218780243215
Loren,Juenemann,Loren Juenemann,Bachelor,42837,100214,3454762045683353487
Melania,Mcgarraugh,Melania Mcgarraugh,Bachelor,37433,100241,-8479354796068042487
Siobhan,Lander,Siobhan Lander,Bachelor,80979,100272,8389287782997347513
Ian,Hassenfritz,Ian Hassenfritz,Bachelor,52499,100301,2893359736077673767
Samual,Metos,Samual Metos,Master,14290,100305,7749070841335358806
Alline,Colbert,Alline Colbert,Bachelor,83589,100314,-4556850268558150566
Vanita,Scotti,Vanita Scotti,Bachelor,77693,100337,-2506375644404299627
Zenia,Weidert,Zenia Weidert,Bachelor,21124,100339,-3266847437359019248
Carlena,Seipp,Carlena Seipp,Bachelor,22346,100346,2452173693029093886
Lula,Darlington,Lula Darlington,Bachelor,65538,100350,-5170010851197219214
Nyla,Hawn,Nyla Hawn,Bachelor,88893,100361,-8747233806956747258
Cyndy,Uva,Cyndy Uva,Bachelor,61417,100364,-2157188325114234155
Brandee,Yorn,Brandee Yorn,Bachelor,51641,100380,-618978752574551149
Rosann,Vandyk,Rosann Vandyk,High School or Below,26854,100389,-7819881544112654870
Clelia,Wright,Clelia Wright,Bachelor,43145,100428,4373973537004110351
Sheila,Duell,Sheila Duell,Bachelor,20303,100459,-8073414724535395986
Linette,Theunissen,Linette Theunissen,Bachelor,59762,100504,-2409635565100437480
Pedro,Cosico,Pedro Cosico,Bachelor,97379,100513,6964567016055225222
Merideth,Azuma,Merideth Azuma,Bachelor,67616,100518,6436162542974072067
Andreas,Fitterer,Andreas Fitterer,Bachelor,72608,100539,-7321903641580265508
Franklin,Buffum,Franklin Buffum,Bachelor,30374,100550,7223314168481372055
Kenneth,Hudok,Kenneth Hudok,Bachelor,66525,100554,-623392672877091501
Florrie,Pachew,Florrie Pachew,Bachelor,87957,100585,204324495263820359
Bruce,Ferentz,Bruce Ferentz,Bachelor,65605,100588,-6528939541746425068
Lawanda,Tollefsrud,Lawanda Tollefsrud,Bachelor,51840,100590,3586686096251712585
Marva,Wildes,Marva Wildes,High School or Below,21616,100604,4841405570436209979
Irma,Wallen,Irma Wallen,Bachelor,87403,100635,8757674571311130796
Charise,Breckenridge,Charise Breckenridge,Bachelor,27005,100642,7003860753654454595
Marya,Swonke,Marya Swonke,Master,17622,100644,2874581884672672099
Domitila,Bisio,Domitila Bisio,Bachelor,95697,100646,-7120007235202862031
Annie,Zubrzycki,Annie Zubrzycki,Bachelor,53519,100654,-4134909030128425284
Linn,Leukuma,Linn Leukuma,Bachelor,72608,100659,3696354892607322494
Adelia,Jakovac,Adelia Jakovac,Bachelor,80780,100681,-3119675468388945041
Rachel,Raso,Rachel Raso,Master,28142,100727,2463600466689336649
Jeannie,Bruin,Jeannie Bruin,Bachelor,21606,100753,5684320194934090952
Ethelyn,Dandridge,Ethelyn Dandridge,High School or Below,23305,100811,-591678562227069761
