First Name,Last Name,Customer Name,Education,Income,Loyalty Number,Customer_ID
Mina,Smida,Mina Smida,Bachelor,82877,100018,-7402788326615808618
Sadie,Straseskie,Sadie Straseskie,High School or Below,16645,100055,4891132773702175903
Rheba,Stonum,Rheba Stonum,Bachelor,93752,100119,7140000914628820705
Soo,Schier,Soo Schier,Master,24910,100124,4831086324437960181
Guillermina,Tradup,Guillermina Tradup,Master,26802,100171,7220568530924839518
Olen,Delrio,Olen Delrio,Bachelor,31409,100210,8357964410564410316
Loren,Juenemann,Loren Juenemann,Bachelor,42837,100214,-2897868231430372727
Melania,Mcgarraugh,Melania Mcgarraugh,Bachelor,37433,100241,-6789319075072935919
Siobhan,Lander,Siobhan Lander,Bachelor,80979,100272,8972778547916762132
Ian,Hassenfritz,Ian Hassenfritz,Bachelor,52499,100301,-1085367353550366569
Samual,Metos,Samual Metos,Master,14290,100305,1874138191515678882
Alline,Colbert,Alline Colbert,Bachelor,83589,100314,4416631227755165899
Vanita,Scotti,Vanita Scotti,Bachelor,77693,100337,-464591281216222233
Zenia,Weidert,Zenia Weidert,Bachelor,21124,100339,-6464057721951901102
Carlena,Seipp,Carlena Seipp,Bachelor,22346,100346,8527485791212889079
Lula,Darlington,Lula Darlington,Bachelor,65538,100350,-651010790582801939
Nyla,Hawn,Nyla Hawn,Bachelor,88893,100361,-4292822832601706419
Cyndy,Uva,Cyndy Uva,Bachelor,61417,100364,-1282916309423389038
Brandee,Yorn,Brandee Yorn,Bachelor,51641,100380,-928631171590402815
Rosann,Vandyk,Rosann Vandyk,High School or Below,26854,100389,-7584859946928956220
Clelia,Wright,Clelia Wright,Bachelor,43145,100428,-7330465590054792660
Sheila,Duell,Sheila Duell,Bachelor,20303,100459,4580134833699789964
Linette,Theunissen,Linette Theunissen,Bachelor,59762,100504,2229730738684270121
Pedro,Cosico,Pedro Cosico,Bachelor,97379,100513,5770957207154262228
Merideth,Azuma,Merideth Azuma,Bachelor,67616,100518,-1439510532216950360
